WORD: WORD CHARS: ASCII VALUE: WORD VOWELS: HAS Z: 
WORD: a, WORD CHARS: 1, ASCII VALUE: 97, WORD VOWELS: 1, HAS 'Z' : 0
WORD: the, WORD CHARS: 3, ASCII VALUE: 116, WORD VOWELS: 1, HAS 'Z' : 0
WORD: this, WORD CHARS: 4, ASCII VALUE: 116, WORD VOWELS: 1, HAS 'Z' : 0
WORD: to, WORD CHARS: 2, ASCII VALUE: 116, WORD VOWELS: 1, HAS 'Z' : 0
WORD: told, WORD CHARS: 4, ASCII VALUE: 116, WORD VOWELS: 1, HAS 'Z' : 0
WORD: turning, WORD CHARS: 7, ASCII VALUE: 116, WORD VOWELS: 2, HAS 'Z' : 0
WORD: understood, WORD CHARS: 10, ASCII VALUE: 117, WORD VOWELS: 4, HAS 'Z' : 0
WORD: unusually, WORD CHARS: 9, ASCII VALUE: 117, WORD VOWELS: 4, HAS 'Z' : 0
WORD: up, WORD CHARS: 2, ASCII VALUE: 117, WORD VOWELS: 1, HAS 'Z' : 0
WORD: veteran, WORD CHARS: 7, ASCII VALUE: 118, WORD VOWELS: 3, HAS 'Z' : 0
WORD: victim, WORD CHARS: 6, ASCII VALUE: 118, WORD VOWELS: 2, HAS 'Z' : 0
WORD: vulnerable, WORD CHARS: 10, ASCII VALUE: 118, WORD VOWELS: 4, HAS 'Z' : 0
WORD: way, WORD CHARS: 3, ASCII VALUE: 119, WORD VOWELS: 1, HAS 'Z' : 0
WORD: we’ve, WORD CHARS: 7, ASCII VALUE: 119, WORD VOWELS: 2, HAS 'Z' : 0
WORD: whats, WORD CHARS: 5, ASCII VALUE: 119, WORD VOWELS: 1, HAS 'Z' : 0
WORD: whenever, WORD CHARS: 8, ASCII VALUE: 119, WORD VOWELS: 3, HAS 'Z' : 0
WORD: world, WORD CHARS: 5, ASCII VALUE: 119, WORD VOWELS: 1, HAS 'Z' : 0
WORD: years, WORD CHARS: 5, ASCII VALUE: 121, WORD VOWELS: 2, HAS 'Z' : 0
WORD: you, WORD CHARS: 3, ASCII VALUE: 121, WORD VOWELS: 2, HAS 'Z' : 0
WORD: younger, WORD CHARS: 7, ASCII VALUE: 121, WORD VOWELS: 3, HAS 'Z' : 0
WORD: you’ve, WORD CHARS: 8, ASCII VALUE: 121, WORD VOWELS: 3, HAS 'Z' : 0
